GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_002011965.1	4167758	GCF_002011965.1	4177568	
GCA_002011985.1	4167778	GCF_002011985.1	4175468	
GCA_002012005.1	4167798	GCF_002012005.1	4178308	
GCA_002012025.1	4167818	GCF_002012025.1	4176728	
GCA_002012045.1	4167838	GCF_002012045.1	4176788	
GCA_002012065.1	4167858	GCF_002012065.1	4177628	
GCA_002012085.1	4167878	GCF_002012085.1	4175528	
GCA_002012105.1	4167898	GCF_002012105.1	4178408	
GCA_002012125.1	4167918	GCF_002012125.1	4176868	
GCA_002012145.1	4167948	GCF_002012145.1	4178488	
GCA_002012165.1	4167968	GCF_002012165.1	4178548	
GCA_002012185.1	4167988	GCF_002012185.1	4176948	
GCA_002012205.1	4168008	GCF_002012205.1	4177688	
GCA_002012225.1	4168038	GCF_002012225.1	4177008	
GCA_002012245.1	4168058	GCF_002012245.1	4177748	
GCA_002012265.1	4168078	GCF_002012265.1	4175588	
GCA_002012305.1	4168118	GCF_002012305.1	4178588	
GCA_002024865.1	4192998	GCF_002024865.1	4196138	
GCA_002055605.1	4267798	GCF_002055605.1	4296848	
GCA_002055635.1	4267848	GCF_002055635.1	4296908	
GCA_002056065.1	4268268	GCF_002056065.1	4296828	
GCA_002056145.1	4268418	GCF_002056145.1	4296948	
GCA_002056635.1	4268818	GCF_002056635.1	4296968	
GCA_002057245.1	4269418	GCF_002057245.1	4296988	
GCA_002057355.1	4269518	GCF_002057355.1	4297008	
GCA_002058765.1	4270768	GCF_002058765.1	4297028	
GCA_002078275.1	4338288	GCF_002078275.1	4340648	
GCA_002078295.1	4338308	GCF_002078295.1	4340368	
GCA_002079225.1	4341148	GCF_002079225.1	4345448	
GCA_002090355.1	4366018	GCF_002090355.1	4378088	
GCA_002105735.1	4407178	GCF_002105735.1	4413798	
GCA_002116715.1	4425148	GCF_002116715.1	4432058	
GCA_002142675.1	4479668	GCF_002142675.1	4517188	
GCA_002142695.1	4479688	GCF_002142695.1	4517348	
GCA_002142715.1	4479708	GCF_002142715.1	4517288	
GCA_900092615.1	3366478	GCF_900092615.1	3409858	
GCA_900096795.1	3940118	GCF_900096795.1	3951428	
GCA_900096845.1	3940218	GCF_900096845.1	3951468	
GCA_900174625.1	4416478	GCF_900174625.1	4426318	
GCA_000725265.1	1169238	GCF_000725265.1	1575898	
GCA_000988425.1	1749138	N/A	N/A	
GCA_000988445.1	1749158	N/A	N/A	
GCA_001513655.1	2787078	N/A	N/A	
GCA_001542675.2	2886358	GCF_001542675.2	2895958	
GCA_001566655.1	2886758	GCF_001566655.1	3310258	
GCA_001721205.1	3436308	GCF_001721205.1	3439268	
